freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.677e+03,5.568e+01,5.938e+00,4.739e+03
1.6,3.248e+03,5.674e+01,2.299e+01,3.327e+03
3.1,5.751e+02,2.798e+01,2.541e+01,6.285e+02
4.7,1.821e+03,2.999e+01,2.407e+01,1.875e+03
6.2,5.197e+03,4.083e+01,2.473e+01,5.262e+03
7.8,8.405e+03,5.394e+01,2.385e+01,8.483e+03
9.3,1.192e+04,6.589e+01,2.570e+01,1.202e+04
10.9,1.622e+04,8.303e+01,2.590e+01,1.633e+04
12.4,2.143e+04,9.970e+01,2.709e+01,2.155e+04
14.0,2.749e+04,1.198e+02,2.582e+01,2.764e+04
15.6,3.507e+04,1.583e+02,2.646e+01,3.525e+04
17.1,4.541e+04,2.274e+02,2.734e+01,4.567e+04
18.7,6.028e+04,4.077e+02,2.569e+01,6.072e+04
20.2,6.079e+04,4.569e+02,2.660e+01,6.127e+04
21.8,5.249e+04,3.546e+02,3.028e+01,5.288e+04
23.3,6.324e+04,8.887e+02,4.244e+01,6.417e+04
24.9,7.873e+04,8.574e+02,3.370e+01,7.962e+04
26.4,9.572e+04,6.866e+02,2.552e+01,9.643e+04
28.0,1.139e+05,7.323e+02,2.563e+01,1.147e+05
29.5,1.274e+05,6.794e+02,2.716e+01,1.281e+05
31.1,1.396e+05,5.710e+02,3.238e+01,1.402e+05
32.7,1.620e+05,5.949e+02,3.312e+01,1.627e+05
34.2,1.893e+05,6.758e+02,2.754e+01,1.900e+05
35.8,2.219e+05,8.532e+02,2.707e+01,2.228e+05
37.3,2.532e+05,1.036e+03,2.981e+01,2.542e+05
38.9,2.884e+05,1.232e+03,3.379e+01,2.896e+05
40.4,3.295e+05,1.475e+03,4.161e+01,3.311e+05
42.0,3.771e+05,1.705e+03,4.295e+01,3.788e+05
43.5,4.334e+05,1.968e+03,4.068e+01,4.354e+05
45.1,4.985e+05,2.301e+03,4.181e+01,5.008e+05
46.7,5.752e+05,2.802e+03,5.591e+01,5.781e+05
48.2,6.589e+05,3.498e+03,9.356e+01,6.625e+05
49.8,7.532e+05,4.160e+03,1.265e+02,7.575e+05
51.3,8.765e+05,4.867e+03,1.481e+02,8.815e+05
52.9,1.033e+06,5.917e+03,2.407e+02,1.039e+06
54.4,1.221e+06,6.751e+03,4.424e+02,1.228e+06
56.0,1.456e+06,6.797e+03,1.010e+03,1.464e+06
57.5,1.764e+06,7.792e+03,2.070e+03,1.774e+06
59.1,2.147e+06,1.313e+04,2.422e+03,2.163e+06
60.6,2.606e+06,2.349e+04,3.175e+03,2.632e+06
62.2,3.251e+06,3.986e+04,6.589e+03,3.298e+06
63.8,4.202e+06,6.049e+04,1.409e+04,4.276e+06
65.3,5.755e+06,7.836e+04,2.025e+04,5.854e+06
66.9,7.702e+06,6.801e+04,1.288e+04,7.783e+06
68.4,9.835e+06,6.213e+04,3.518e+03,9.901e+06
70.0,1.557e+07,8.058e+04,2.662e+03,1.565e+07
71.5,2.669e+07,1.481e+05,3.195e+03,2.685e+07
73.1,3.534e+07,2.401e+05,3.392e+03,3.558e+07
74.6,3.390e+07,2.465e+05,2.533e+03,3.415e+07
76.2,2.779e+07,2.089e+05,1.812e+03,2.800e+07
77.8,2.106e+07,1.839e+05,1.323e+03,2.124e+07
79.3,1.524e+07,1.543e+05,9.570e+02,1.540e+07
80.9,1.113e+07,9.884e+04,1.107e+03,1.123e+07
82.4,8.278e+06,4.925e+04,1.635e+03,8.329e+06
84.0,6.282e+06,2.737e+04,2.149e+03,6.311e+06
85.5,4.718e+06,1.866e+04,2.007e+03,4.739e+06
87.1,3.422e+06,1.505e+04,1.416e+03,3.439e+06
88.6,2.407e+06,1.510e+04,9.341e+02,2.423e+06
90.2,1.738e+06,1.649e+04,1.105e+03,1.755e+06
91.8,1.325e+06,2.237e+04,1.627e+03,1.349e+06
93.3,1.075e+06,3.327e+04,1.687e+03,1.110e+06
94.9,8.300e+05,3.724e+04,1.497e+03,8.688e+05
96.4,5.891e+05,5.232e+04,1.512e+03,6.429e+05
98.0,5.796e+05,1.267e+05,3.506e+03,7.098e+05
99.5,1.329e+06,2.531e+05,8.577e+03,1.591e+06
101.1,2.979e+06,2.531e+05,9.639e+03,3.241e+06
102.6,4.177e+06,1.785e+05,6.715e+03,4.362e+06
104.2,4.176e+06,9.586e+04,4.549e+03,4.276e+06
105.7,3.662e+06,4.509e+04,2.897e+03,3.710e+06
107.3,3.267e+06,3.211e+04,1.657e+03,3.301e+06
108.9,3.092e+06,4.186e+04,1.193e+03,3.135e+06
110.4,2.837e+06,3.898e+04,8.373e+02,2.877e+06
112.0,2.614e+06,2.740e+04,6.614e+02,2.642e+06
113.5,2.463e+06,1.650e+04,5.257e+02,2.480e+06
115.1,2.273e+06,8.582e+03,3.528e+02,2.282e+06
116.6,2.057e+06,8.865e+03,2.095e+02,2.067e+06
118.2,1.834e+06,1.209e+04,3.251e+02,1.846e+06
119.7,1.572e+06,2.085e+04,5.018e+02,1.593e+06
121.3,1.379e+06,3.079e+04,8.215e+02,1.411e+06
122.9,1.281e+06,2.536e+04,1.461e+03,1.308e+06
124.4,1.140e+06,1.545e+04,1.303e+03,1.157e+06
126.0,1.043e+06,1.394e+04,6.179e+02,1.058e+06
127.5,9.598e+05,1.041e+04,4.308e+02,9.706e+05
129.1,8.768e+05,5.747e+03,7.371e+02,8.833e+05
130.6,8.184e+05,1.372e+04,1.358e+03,8.335e+05
132.2,6.751e+05,1.296e+04,1.535e+03,6.896e+05
133.7,2.016e+05,4.058e+03,4.624e+02,2.061e+05
135.3,1.276e+04,2.096e+03,8.879e+01,1.495e+04
136.8,7.970e+03,2.234e+03,1.249e+02,1.033e+04
138.4,7.990e+03,1.949e+03,1.392e+02,1.008e+04
140.0,9.360e+03,2.965e+03,1.164e+02,1.244e+04
141.5,1.099e+04,3.625e+03,1.301e+02,1.474e+04
143.1,1.215e+04,5.386e+03,1.608e+02,1.769e+04
144.6,1.280e+04,1.019e+04,2.207e+02,2.320e+04
146.2,1.352e+04,1.198e+04,3.505e+02,2.585e+04
147.7,1.299e+04,1.047e+04,4.439e+02,2.390e+04
