freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.834e+03,4.315e+01,4.319e+01,3.920e+03
1.5,2.829e+03,7.283e+01,8.292e+01,2.985e+03
3.0,7.972e+02,6.997e+01,4.544e+01,9.126e+02
4.5,1.835e+03,8.068e+01,3.188e+01,1.947e+03
6.0,5.096e+03,7.931e+01,2.753e+01,5.203e+03
7.5,8.617e+03,1.147e+02,2.636e+01,8.758e+03
9.0,1.188e+04,1.164e+02,2.768e+01,1.203e+04
10.5,1.575e+04,1.219e+02,3.117e+01,1.591e+04
12.0,2.072e+04,1.508e+02,2.933e+01,2.090e+04
13.5,2.585e+04,1.669e+02,2.422e+01,2.604e+04
15.0,3.231e+04,1.777e+02,2.397e+01,3.251e+04
16.5,4.014e+04,2.043e+02,2.325e+01,4.036e+04
18.0,4.866e+04,2.399e+02,2.929e+01,4.893e+04
19.5,5.572e+04,2.834e+02,3.348e+01,5.603e+04
21.0,6.311e+04,2.967e+02,3.220e+01,6.344e+04
22.5,7.388e+04,3.435e+02,2.955e+01,7.425e+04
24.0,8.859e+04,4.187e+02,3.897e+01,8.904e+04
25.5,1.041e+05,4.777e+02,2.799e+01,1.046e+05
27.0,1.200e+05,5.352e+02,2.946e+01,1.205e+05
28.5,1.372e+05,6.078e+02,4.525e+01,1.378e+05
30.0,1.534e+05,7.507e+02,5.670e+01,1.542e+05
31.5,1.739e+05,8.111e+02,6.675e+01,1.747e+05
33.0,1.975e+05,7.706e+02,8.560e+01,1.983e+05
34.5,2.201e+05,7.495e+02,8.253e+01,2.209e+05
36.0,2.454e+05,7.824e+02,6.536e+01,2.462e+05
37.5,2.809e+05,9.569e+02,4.392e+01,2.819e+05
39.0,3.216e+05,1.152e+03,3.270e+01,3.228e+05
40.5,3.711e+05,1.274e+03,5.328e+01,3.724e+05
42.0,4.273e+05,1.272e+03,1.081e+02,4.287e+05
43.5,4.926e+05,1.143e+03,1.856e+02,4.940e+05
45.0,5.897e+05,1.126e+03,2.361e+02,5.911e+05
46.5,6.798e+05,1.421e+03,2.646e+02,6.814e+05
48.0,7.998e+05,2.201e+03,2.195e+02,8.022e+05
49.5,9.437e+05,2.995e+03,1.554e+02,9.468e+05
51.0,1.131e+06,3.180e+03,2.544e+02,1.134e+06
52.5,1.358e+06,2.943e+03,1.625e+03,1.363e+06
54.0,1.643e+06,6.402e+03,4.658e+03,1.654e+06
55.5,2.000e+06,1.064e+04,4.976e+03,2.015e+06
57.0,2.473e+06,9.402e+03,1.669e+03,2.484e+06
58.5,3.090e+06,1.161e+04,1.489e+03,3.103e+06
60.0,4.032e+06,2.768e+04,6.204e+03,4.066e+06
61.5,5.415e+06,6.702e+04,1.760e+04,5.499e+06
63.0,8.106e+06,1.197e+05,3.743e+04,8.263e+06
64.5,1.389e+07,2.413e+05,9.976e+04,1.423e+07
66.0,2.216e+07,4.331e+05,2.095e+05,2.280e+07
67.5,2.825e+07,4.369e+05,2.455e+05,2.893e+07
69.0,2.860e+07,3.201e+05,2.347e+05,2.915e+07
70.5,2.470e+07,2.261e+05,2.145e+05,2.514e+07
72.0,1.923e+07,1.598e+05,1.809e+05,1.957e+07
73.5,1.438e+07,1.031e+05,1.490e+05,1.463e+07
75.0,1.112e+07,6.364e+04,1.228e+05,1.130e+07
76.5,8.762e+06,4.139e+04,1.026e+05,8.905e+06
78.0,6.930e+06,3.166e+04,8.743e+04,7.049e+06
79.5,5.436e+06,1.974e+04,7.295e+04,5.528e+06
81.0,4.192e+06,7.451e+03,5.729e+04,4.257e+06
82.5,3.206e+06,6.044e+03,4.120e+04,3.253e+06
84.0,2.510e+06,1.866e+04,2.713e+04,2.556e+06
85.5,2.060e+06,3.391e+04,1.744e+04,2.111e+06
87.0,1.689e+06,3.915e+04,1.190e+04,1.740e+06
88.5,1.364e+06,3.642e+04,7.050e+03,1.408e+06
90.0,1.168e+06,2.671e+04,5.478e+03,1.201e+06
91.5,1.149e+06,1.414e+04,9.990e+03,1.173e+06
93.0,1.269e+06,1.115e+04,1.666e+04,1.296e+06
94.5,1.402e+06,1.137e+04,2.431e+04,1.437e+06
96.0,1.467e+06,1.025e+04,2.980e+04,1.507e+06
97.5,1.487e+06,9.387e+03,3.445e+04,1.530e+06
99.0,1.514e+06,8.638e+03,3.917e+04,1.562e+06
100.5,1.542e+06,7.688e+03,4.095e+04,1.591e+06
102.0,1.531e+06,1.054e+04,3.947e+04,1.581e+06
103.5,1.411e+06,1.586e+04,3.306e+04,1.460e+06
105.0,1.255e+06,1.946e+04,2.341e+04,1.298e+06
106.5,1.163e+06,2.230e+04,1.530e+04,1.201e+06
108.0,1.156e+06,2.970e+04,9.539e+03,1.195e+06
109.5,1.186e+06,4.371e+04,5.362e+03,1.235e+06
111.0,1.151e+06,5.135e+04,2.488e+03,1.205e+06
112.5,1.062e+06,4.818e+04,9.439e+02,1.111e+06
114.0,9.728e+05,4.652e+04,4.541e+02,1.020e+06
115.5,8.641e+05,4.619e+04,5.630e+02,9.108e+05
117.0,8.048e+05,4.876e+04,1.038e+03,8.546e+05
118.5,7.576e+05,4.071e+04,2.069e+03,8.004e+05
120.0,7.165e+05,2.161e+04,3.448e+03,7.415e+05
121.5,6.712e+05,7.888e+03,4.806e+03,6.839e+05
123.0,6.486e+05,3.397e+03,5.271e+03,6.573e+05
124.4,6.468e+05,2.200e+03,5.102e+03,6.541e+05
125.9,6.211e+05,2.241e+03,5.186e+03,6.285e+05
127.4,6.078e+05,3.443e+03,5.213e+03,6.165e+05
128.9,5.973e+05,5.232e+03,5.240e+03,6.077e+05
130.4,5.596e+05,1.027e+04,4.722e+03,5.746e+05
131.9,4.389e+05,1.289e+04,3.516e+03,4.553e+05
133.4,1.404e+05,1.265e+04,2.110e+03,1.552e+05
134.9,1.294e+04,1.227e+04,2.009e+03,2.722e+04
136.4,9.489e+03,9.670e+03,2.397e+03,2.156e+04
137.9,8.145e+03,4.881e+03,1.893e+03,1.492e+04
139.4,8.105e+03,2.897e+03,1.427e+03,1.243e+04
140.9,9.016e+03,4.513e+03,1.373e+03,1.490e+04
142.4,7.430e+03,3.201e+03,1.040e+03,1.167e+04
143.9,7.563e+03,1.351e+03,7.397e+02,9.654e+03
145.4,8.307e+03,8.315e+02,5.367e+02,9.675e+03
146.9,7.913e+03,9.470e+02,3.700e+02,9.230e+03
148.4,7.951e+03,1.270e+03,2.621e+02,9.483e+03
149.9,7.448e+03,1.471e+03,2.194e+02,9.138e+03
151.4,6.866e+03,1.588e+03,1.764e+02,8.631e+03
152.9,5.887e+03,2.468e+03,1.361e+02,8.491e+03
154.4,5.891e+03,3.058e+03,1.280e+02,9.077e+03
155.9,6.090e+03,4.053e+03,4.787e+02,1.062e+04
157.4,1.202e+04,4.108e+04,9.131e+03,6.224e+04
158.9,1.619e+04,6.824e+04,1.504e+04,9.947e+04
160.4,8.179e+03,1.199e+04,2.284e+03,2.245e+04
161.9,2.846e+04,2.873e+04,3.923e+03,6.112e+04
163.4,5.046e+04,5.507e+04,7.593e+03,1.131e+05
164.9,1.274e+04,7.421e+03,9.237e+02,2.109e+04
166.4,7.850e+03,1.137e+03,5.183e+01,9.039e+03
167.9,7.908e+03,8.435e+02,5.388e+01,8.805e+03
169.4,7.702e+03,7.130e+02,5.267e+01,8.468e+03
170.9,7.814e+03,7.732e+02,4.954e+01,8.636e+03
