freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.949e+01,2.191e+03,9.067e+02,3.168e+03
1.6,1.222e+02,1.249e+03,5.167e+02,1.888e+03
3.1,7.990e+01,6.570e+01,3.094e+01,1.765e+02
4.7,1.177e+02,1.376e+03,3.791e+01,1.532e+03
6.2,1.182e+02,4.974e+03,4.187e+01,5.134e+03
7.8,1.435e+02,8.353e+03,5.062e+01,8.547e+03
9.3,1.501e+02,1.228e+04,5.815e+01,1.249e+04
10.9,1.592e+02,1.710e+04,7.003e+01,1.733e+04
12.4,1.975e+02,2.319e+04,8.262e+01,2.347e+04
14.0,2.408e+02,3.064e+04,1.132e+02,3.099e+04
15.6,2.486e+02,4.103e+04,1.571e+02,4.143e+04
17.1,2.587e+02,5.606e+04,2.047e+02,5.652e+04
18.7,3.929e+02,7.685e+04,2.946e+02,7.754e+04
20.2,2.528e+03,1.099e+05,4.520e+02,1.129e+05
21.8,5.554e+03,1.519e+05,6.516e+02,1.581e+05
23.3,3.318e+03,1.112e+05,5.156e+02,1.150e+05
24.9,7.722e+02,5.594e+04,3.095e+02,5.703e+04
26.4,1.646e+02,6.808e+04,4.682e+02,6.871e+04
28.0,1.789e+02,9.843e+04,7.935e+02,9.940e+04
29.5,4.694e+02,1.295e+05,1.228e+03,1.312e+05
31.1,8.359e+02,1.615e+05,1.668e+03,1.640e+05
32.7,9.498e+02,2.037e+05,2.043e+03,2.066e+05
34.2,1.117e+03,2.556e+05,2.718e+03,2.594e+05
35.8,1.279e+03,3.134e+05,4.060e+03,3.187e+05
37.3,1.482e+03,3.870e+05,6.407e+03,3.949e+05
38.9,1.783e+03,4.749e+05,9.986e+03,4.867e+05
40.4,1.973e+03,5.912e+05,1.592e+04,6.091e+05
42.0,2.151e+03,7.494e+05,2.688e+04,7.784e+05
43.5,2.486e+03,9.859e+05,4.929e+04,1.038e+06
45.1,2.859e+03,1.296e+06,9.418e+04,1.393e+06
46.7,3.132e+03,1.601e+06,1.862e+05,1.790e+06
48.2,3.495e+03,2.205e+06,5.054e+05,2.714e+06
49.8,3.572e+03,3.498e+06,1.903e+06,5.404e+06
51.3,1.913e+03,3.741e+06,3.895e+06,7.638e+06
52.9,5.146e+02,2.623e+06,3.633e+06,6.257e+06
54.4,1.589e+02,1.834e+06,2.598e+06,4.433e+06
56.0,1.749e+02,1.220e+06,2.106e+06,3.326e+06
57.5,6.364e+02,7.703e+05,2.049e+06,2.820e+06
59.1,2.064e+03,6.676e+05,2.214e+06,2.884e+06
60.6,3.997e+03,9.671e+05,2.374e+06,3.345e+06
62.2,6.704e+03,1.765e+06,2.601e+06,4.373e+06
63.8,1.002e+04,3.516e+06,2.932e+06,6.458e+06
65.3,1.264e+04,6.193e+06,3.185e+06,9.391e+06
66.9,2.097e+04,7.432e+06,2.934e+06,1.039e+07
68.4,3.018e+04,6.829e+06,2.360e+06,9.220e+06
70.0,1.967e+04,5.453e+06,1.644e+06,7.116e+06
71.5,6.945e+03,4.127e+06,1.068e+06,5.202e+06
73.1,1.891e+03,3.239e+06,7.406e+05,3.982e+06
74.6,1.386e+03,2.578e+06,5.370e+05,3.117e+06
76.2,3.745e+03,2.018e+06,3.945e+05,2.416e+06
77.8,8.062e+03,1.563e+06,2.953e+05,1.867e+06
79.3,1.529e+04,1.240e+06,2.327e+05,1.488e+06
80.9,2.187e+04,1.011e+06,1.923e+05,1.225e+06
82.4,2.355e+04,7.859e+05,1.538e+05,9.633e+05
84.0,2.312e+04,5.463e+05,1.111e+05,6.806e+05
85.5,2.188e+04,3.385e+05,7.216e+04,4.326e+05
87.1,2.156e+04,2.027e+05,4.241e+04,2.667e+05
88.6,2.461e+04,1.823e+05,2.351e+04,2.305e+05
90.2,3.386e+04,3.820e+05,1.763e+04,4.335e+05
91.7,4.217e+04,9.822e+05,3.058e+04,1.055e+06
93.3,4.163e+04,1.794e+06,5.204e+04,1.887e+06
94.9,2.892e+04,2.365e+06,6.571e+04,2.459e+06
96.4,1.812e+04,2.595e+06,6.958e+04,2.683e+06
98.0,1.241e+04,2.563e+06,6.716e+04,2.643e+06
99.5,1.342e+04,2.491e+06,6.344e+04,2.568e+06
101.1,1.948e+04,2.257e+06,5.874e+04,2.335e+06
102.6,1.902e+04,1.907e+06,5.370e+04,1.979e+06
104.2,2.423e+04,1.597e+06,4.849e+04,1.669e+06
105.7,4.965e+04,1.458e+06,4.397e+04,1.552e+06
107.3,5.678e+04,1.311e+06,3.888e+04,1.407e+06
108.9,5.679e+04,1.157e+06,3.453e+04,1.249e+06
110.4,6.253e+04,1.081e+06,3.248e+04,1.176e+06
112.0,5.988e+04,1.076e+06,3.198e+04,1.168e+06
113.5,5.477e+04,1.055e+06,3.220e+04,1.142e+06
115.1,4.009e+04,1.027e+06,3.346e+04,1.100e+06
116.6,2.393e+04,9.876e+05,3.461e+04,1.046e+06
118.2,1.438e+04,9.399e+05,3.512e+04,9.894e+05
119.7,1.056e+04,8.821e+05,3.451e+04,9.272e+05
121.3,8.779e+03,8.245e+05,3.347e+04,8.668e+05
122.9,7.537e+03,7.300e+05,3.173e+04,7.693e+05
124.4,5.262e+03,6.227e+05,3.066e+04,6.586e+05
126.0,5.033e+03,5.797e+05,3.388e+04,6.186e+05
127.5,6.312e+03,4.987e+05,3.322e+04,5.382e+05
129.1,6.965e+03,4.137e+05,2.799e+04,4.486e+05
130.6,8.856e+03,3.294e+05,2.209e+04,3.604e+05
132.2,9.164e+03,2.724e+05,1.553e+04,2.971e+05
133.7,5.596e+03,1.063e+05,5.446e+03,1.173e+05
135.3,3.887e+03,2.711e+04,1.427e+03,3.242e+04
136.8,3.508e+03,2.702e+04,1.124e+03,3.165e+04
138.4,3.283e+03,4.487e+04,1.346e+03,4.949e+04
140.0,4.311e+03,6.111e+04,1.275e+03,6.670e+04
141.5,4.838e+03,6.245e+04,1.011e+03,6.830e+04
143.1,4.454e+03,6.288e+04,9.140e+02,6.825e+04
144.6,4.112e+03,6.398e+04,8.187e+02,6.891e+04
146.2,3.737e+03,6.868e+04,7.550e+02,7.317e+04
147.7,3.324e+03,7.741e+04,6.244e+02,8.136e+04
149.3,3.081e+03,8.729e+04,4.179e+02,9.079e+04
150.8,3.163e+03,9.406e+04,2.799e+02,9.751e+04
152.4,3.550e+03,6.586e+04,1.923e+02,6.961e+04
154.0,3.323e+03,3.390e+04,1.555e+02,3.738e+04
155.5,4.275e+03,1.766e+04,1.248e+02,2.206e+04
157.1,7.118e+03,1.731e+04,9.801e+01,2.453e+04
158.6,8.557e+03,2.185e+04,8.228e+01,3.049e+04
160.2,6.684e+03,2.157e+04,7.341e+01,2.833e+04
161.7,6.071e+03,1.698e+04,7.111e+01,2.312e+04
163.3,6.506e+03,1.765e+04,8.289e+01,2.424e+04
164.8,6.650e+03,1.709e+04,9.582e+01,2.384e+04
166.4,6.330e+03,1.893e+04,8.820e+01,2.535e+04
167.9,5.507e+03,2.215e+04,6.778e+01,2.773e+04
169.5,4.831e+03,2.263e+04,5.928e+01,2.752e+04
171.1,4.282e+03,2.428e+04,5.672e+01,2.862e+04
172.6,3.542e+03,2.945e+04,5.336e+01,3.304e+04
174.2,2.537e+03,3.167e+04,5.064e+01,3.426e+04
175.7,2.277e+03,3.168e+04,4.834e+01,3.400e+04
177.3,2.249e+03,3.281e+04,4.928e+01,3.511e+04
178.8,2.453e+03,3.248e+04,5.549e+01,3.499e+04
180.4,2.254e+03,3.077e+04,6.028e+01,3.309e+04
181.9,2.251e+03,2.819e+04,7.575e+01,3.051e+04
183.5,2.091e+03,2.791e+04,9.665e+01,3.010e+04
185.1,1.779e+03,2.953e+04,1.457e+02,3.146e+04
186.6,1.435e+03,3.149e+04,2.108e+02,3.314e+04
188.2,9.838e+02,3.217e+04,2.472e+02,3.340e+04
189.7,8.233e+02,3.157e+04,2.363e+02,3.263e+04
191.3,9.643e+02,2.880e+04,1.999e+02,2.996e+04
192.8,1.282e+03,3.515e+04,1.897e+02,3.662e+04
194.4,1.526e+03,4.287e+04,1.751e+02,4.457e+04
195.9,1.994e+03,5.009e+04,1.588e+02,5.224e+04
197.5,2.417e+03,5.515e+04,1.314e+02,5.770e+04
199.0,2.483e+03,6.080e+04,1.127e+02,6.340e+04
