Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ESTEP1,JST-PH_4-PIN_HEADER,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,82.989771,-88.232411,-135.0,top
FS1,JST-PH_3-PIN_HEADER,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,114.0,-101.0,90.0,top
HE0,Molex 43650-0200,Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal,94.5,-112.0,180.0,top
HEF1,JST-PH_3-PIN_HEADER,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,105.0,-101.0,90.0,top
LED1,JST-PH_3-PIN_HEADER,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,96.0,-101.0,90.0,top
MCU1,Molex 43045-1400,Molex_Micro-Fit_3.0_43045-1400_2x07_P3.00mm_Horizontal,103.5,-88.915,0.0,top
MCU2,Molex 43045-0200,Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal,121.5,-89.0,0.0,top
PCF1,JST-PH_2-PIN_HEADER,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,117.5,-109.25,0.0,top
PCF2,JST-PH_2-PIN_HEADER,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,82.498263,-109.286417,0.0,top
PCF3,PICOBLADE_2-PIN_HEADER,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,123.231785,-109.161417,-90.0,top
PCF4,PICOBLADE_2-PIN_HEADER,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,76.877718,-109.201964,-90.0,top
PROBE1,JST-PH_3-PIN_HEADER,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,87.0,-101.0,90.0,top
TH0,Molex 43650-0200,Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal,105.5,-112.0,180.0,top
